epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.232,1.33696,2.01295,1.32392,0.63651,0.60336,0.65158,0.41512,1.30045,1.43641,1.34865,0.000474656,0.000474656,0.000474656
2,193.42,1.32493,1.21869,1.28766,0.73084,0.68383,0.74456,0.4624,1.33445,1.21648,1.35784,0.00093754,0.00093754,0.00093754
3,280.351,1.32159,1.19889,1.2912,0.62468,0.38607,0.45554,0.30923,1.46874,2.2219,1.4847,0.00138695,0.00138695,0.00138695
4,367.588,1.31229,1.13,1.28025,0.7884,0.76746,0.81639,0.53231,1.27362,1.04817,1.31953,0.00136837,0.00136837,0.00136837
5,455.955,1.27552,1.02599,1.25357,0.8295,0.73843,0.84216,0.57333,1.21208,0.95246,1.26246,0.00134816,0.00134816,0.00134816
6,542.691,1.23926,0.96011,1.22869,0.79853,0.82122,0.86335,0.57709,1.23211,0.89379,1.2898,0.00132795,0.00132795,0.00132795
7,630.636,1.22298,0.92236,1.22099,0.8537,0.79418,0.87774,0.58817,1.24134,0.84651,1.29971,0.00130774,0.00130774,0.00130774
8,718.466,1.18871,0.86218,1.2093,0.85658,0.7914,0.87601,0.5949,1.18367,0.82162,1.26632,0.00128753,0.00128753,0.00128753
9,806.316,1.19415,0.86042,1.20603,0.83615,0.81156,0.87539,0.59404,1.21594,0.78419,1.28203,0.00126732,0.00126732,0.00126732
10,894.416,1.17098,0.81553,1.19585,0.88235,0.82418,0.89446,0.61882,1.17959,0.7536,1.25165,0.00124711,0.00124711,0.00124711
11,982.866,1.15072,0.8024,1.18713,0.87923,0.84111,0.91291,0.63911,1.15252,0.71456,1.24771,0.0012269,0.0012269,0.0012269
12,1070.23,1.14511,0.76145,1.17221,0.87386,0.83728,0.90114,0.63609,1.15401,0.71256,1.23406,0.00120669,0.00120669,0.00120669
13,1157.44,1.13272,0.75176,1.16551,0.91183,0.79089,0.89973,0.6207,1.17125,0.73304,1.24023,0.00118648,0.00118648,0.00118648
14,1245.16,1.11349,0.71642,1.15115,0.92395,0.87189,0.92516,0.63785,1.13674,0.67645,1.22536,0.00116627,0.00116627,0.00116627
15,1333.63,1.0923,0.70561,1.14371,0.8735,0.87535,0.9194,0.64533,1.10664,0.68565,1.20523,0.00114606,0.00114606,0.00114606
16,1421.26,1.10036,0.68892,1.14832,0.85472,0.88914,0.92291,0.63586,1.16024,0.69013,1.25297,0.00112585,0.00112585,0.00112585
17,1508.37,1.09436,0.66021,1.14671,0.90687,0.84975,0.91647,0.64026,1.16739,0.67197,1.24615,0.00110564,0.00110564,0.00110564
18,1595.41,1.0688,0.66607,1.13182,0.86876,0.85935,0.91583,0.63603,1.15671,0.69535,1.24466,0.00108543,0.00108543,0.00108543
19,1682.27,1.06626,0.65162,1.12673,0.8648,0.86103,0.91582,0.63507,1.16083,0.67363,1.2474,0.00106522,0.00106522,0.00106522
20,1770.1,1.04629,0.63265,1.11431,0.91257,0.85278,0.92426,0.65147,1.1539,0.64296,1.22732,0.00104501,0.00104501,0.00104501
