epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.977,1.28088,1.84117,1.31068,0.87889,0.77078,0.86785,0.58913,1.14292,0.89043,1.23738,0.0033216,0.0033216,0.0033216
2,191.024,1.21321,0.91468,1.20147,0.87907,0.69928,0.81453,0.55499,1.19246,1.04131,1.25757,0.00658905,0.00658905,0.00658905
3,278.228,1.28459,0.99258,1.2302,0.85068,0.685,0.79991,0.52005,1.31049,1.07627,1.31657,0.0097905,0.0097905,0.0097905
4,365.056,1.30836,1.00844,1.2567,0.84957,0.6451,0.75465,0.49927,1.37518,1.20333,1.40057,0.009703,0.009703,0.009703
5,451.624,1.29131,0.95189,1.24569,0.87191,0.75024,0.8356,0.54914,1.27289,0.98395,1.30458,0.009604,0.009604,0.009604
6,538.001,1.25251,0.88141,1.22547,0.89139,0.78156,0.87976,0.59278,1.19966,0.88251,1.23133,0.009505,0.009505,0.009505
7,625.022,1.24903,0.85489,1.22924,0.84692,0.83567,0.89143,0.59604,1.2208,0.82914,1.25979,0.009406,0.009406,0.009406
8,712.111,1.21776,0.81186,1.20559,0.89617,0.79559,0.89272,0.59738,1.24686,0.83507,1.29309,0.009307,0.009307,0.009307
9,799.087,1.20918,0.78861,1.20102,0.90566,0.77956,0.88993,0.61691,1.20586,0.8217,1.25414,0.009208,0.009208,0.009208
10,886.343,1.19506,0.76578,1.18548,0.88829,0.77756,0.86341,0.59992,1.2701,0.88651,1.32967,0.009109,0.009109,0.009109
11,973.127,1.1931,0.74851,1.18763,0.91221,0.79124,0.89283,0.5927,1.2682,0.84508,1.26838,0.00901,0.00901,0.00901
12,1059.84,1.1707,0.73171,1.17493,0.90753,0.82603,0.90957,0.63015,1.18619,0.74386,1.23659,0.008911,0.008911,0.008911
13,1146.78,1.14738,0.71658,1.16711,0.87671,0.84074,0.91101,0.62852,1.15692,0.71155,1.24408,0.008812,0.008812,0.008812
14,1235.02,1.13961,0.69051,1.16021,0.91202,0.8497,0.91773,0.6226,1.2197,0.69455,1.26452,0.008713,0.008713,0.008713
15,1321.38,1.12837,0.6891,1.15561,0.91678,0.83768,0.92736,0.64763,1.13299,0.68881,1.21295,0.008614,0.008614,0.008614
16,1408.39,1.11489,0.66014,1.14264,0.90023,0.86799,0.93496,0.65228,1.15542,0.67578,1.20598,0.008515,0.008515,0.008515
17,1495.57,1.11419,0.66101,1.14545,0.89471,0.86172,0.92282,0.64536,1.16704,0.67334,1.23483,0.008416,0.008416,0.008416
18,1582.11,1.1024,0.64234,1.14416,0.92078,0.84569,0.92043,0.64859,1.15216,0.64609,1.21855,0.008317,0.008317,0.008317
19,1668.84,1.09847,0.63218,1.13143,0.85143,0.69739,0.81808,0.54135,1.30725,1.14305,1.29551,0.008218,0.008218,0.008218
20,1755.47,1.08688,0.62404,1.12486,0.90858,0.87638,0.9285,0.64771,1.14784,0.65384,1.21828,0.008119,0.008119,0.008119
21,1842.45,1.07921,0.60987,1.12142,0.92311,0.84369,0.92084,0.6335,1.23555,0.69341,1.27802,0.00802,0.00802,0.00802
22,1929.85,1.05555,0.60628,1.11532,0.89023,0.86137,0.90638,0.63535,1.17459,0.68749,1.22888,0.007921,0.007921,0.007921
23,2016.52,1.04846,0.58825,1.10314,0.91337,0.8874,0.93392,0.65489,1.1671,0.65786,1.21751,0.007822,0.007822,0.007822
24,2103.26,1.05108,0.58628,1.10799,0.91776,0.87221,0.92784,0.65431,1.14946,0.64513,1.23143,0.007723,0.007723,0.007723
25,2189.88,1.0361,0.57839,1.10007,0.92264,0.88431,0.93384,0.65975,1.16148,0.64738,1.2273,0.007624,0.007624,0.007624
26,2276.45,1.02923,0.57059,1.09224,0.91118,0.86344,0.93811,0.66356,1.15755,0.63109,1.22446,0.007525,0.007525,0.007525
27,2363.07,1.01867,0.55341,1.0842,0.92136,0.8497,0.9249,0.65547,1.18001,0.71043,1.23164,0.007426,0.007426,0.007426
28,2449.52,1.01148,0.55074,1.08777,0.93203,0.85972,0.93909,0.65927,1.19266,0.61018,1.24352,0.007327,0.007327,0.007327
29,2536.14,0.98925,0.53398,1.07263,0.92331,0.89277,0.93335,0.66221,1.15561,0.61391,1.22165,0.007228,0.007228,0.007228
30,2622.64,0.98269,0.52801,1.07508,0.89779,0.8801,0.92734,0.66272,1.1613,0.61523,1.25374,0.007129,0.007129,0.007129
31,2709.8,0.97818,0.52485,1.07241,0.89725,0.89244,0.93505,0.66115,1.17953,0.61547,1.25695,0.00703,0.00703,0.00703
32,2796.51,0.96591,0.51449,1.06212,0.92677,0.8623,0.93076,0.67004,1.15391,0.56684,1.22686,0.006931,0.006931,0.006931
33,2883.09,0.96143,0.51208,1.06101,0.89923,0.89419,0.94263,0.67143,1.13561,0.59031,1.21569,0.006832,0.006832,0.006832
34,2969.6,0.95652,0.50263,1.05974,0.91612,0.85363,0.92539,0.65978,1.17262,0.6289,1.24834,0.006733,0.006733,0.006733
35,3056.3,0.94506,0.50663,1.05171,0.9267,0.88176,0.9377,0.67097,1.16303,0.5963,1.24788,0.006634,0.006634,0.006634
36,3142.68,0.93293,0.49334,1.04931,0.91308,0.88423,0.94082,0.67681,1.15189,0.59412,1.2224,0.006535,0.006535,0.006535
37,3229.28,0.91783,0.48639,1.03484,0.90751,0.89178,0.93801,0.67193,1.15616,0.60782,1.2221,0.006436,0.006436,0.006436
38,3316.12,0.91108,0.47986,1.03361,0.89534,0.87575,0.93537,0.66766,1.17077,0.62768,1.26089,0.006337,0.006337,0.006337
39,3402.49,0.91435,0.47957,1.0325,0.93157,0.8477,0.92912,0.66809,1.16932,0.6229,1.23107,0.006238,0.006238,0.006238
40,3488.98,0.90686,0.47859,1.02978,0.92849,0.91076,0.949,0.6871,1.12792,0.56058,1.22825,0.006139,0.006139,0.006139
41,3575.95,0.88854,0.46185,1.01864,0.92828,0.88778,0.94379,0.67169,1.17452,0.56365,1.24962,0.00604,0.00604,0.00604
42,3662.74,0.87492,0.45914,1.01689,0.93852,0.88377,0.93943,0.68274,1.1598,0.58642,1.23302,0.005941,0.005941,0.005941
43,3749.26,0.87201,0.46184,1.01734,0.9327,0.88778,0.94834,0.68296,1.16637,0.56895,1.25198,0.005842,0.005842,0.005842
44,3835.93,0.86321,0.45319,1.00786,0.91876,0.89379,0.93564,0.66756,1.14745,0.56445,1.24564,0.005743,0.005743,0.005743
45,3922.82,0.87271,0.46288,1.01598,0.93007,0.88778,0.93913,0.67392,1.16157,0.5662,1.26723,0.005644,0.005644,0.005644
46,4009.19,0.85584,0.43967,1.00224,0.92254,0.87776,0.94104,0.68173,1.13754,0.56252,1.23598,0.005545,0.005545,0.005545
47,4095.93,0.84742,0.44249,1.00282,0.94,0.87776,0.9387,0.67923,1.15383,0.58601,1.24861,0.005446,0.005446,0.005446
48,4181.51,0.84902,0.44131,1.00642,0.95689,0.87575,0.9386,0.65917,1.18162,0.56022,1.26237,0.005347,0.005347,0.005347
49,4268.62,0.82703,0.43515,0.99399,0.91254,0.89379,0.93197,0.66812,1.17949,0.59177,1.26964,0.005248,0.005248,0.005248
