epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3621.11,0.89163,0.44689,1.00756,0.6754,0.65188,0.70484,0.4209,1.59557,1.26069,1.65023,0.006535,0.006535,0.006535
44,3696.25,0.90209,0.45057,1.01486,0.81486,0.61483,0.71709,0.4146,1.64652,1.22028,1.665,0.0064525,0.0064525,0.0064525
45,3770.91,0.88969,0.44365,1.01131,0.77355,0.63636,0.70191,0.41864,1.60229,1.14367,1.67954,0.00637,0.00637,0.00637
46,3845.46,0.88195,0.44458,1.00903,0.67448,0.68071,0.71303,0.42603,1.61973,1.30304,1.69107,0.0062875,0.0062875,0.0062875
47,3920.55,0.87788,0.43742,1.00757,0.74763,0.63716,0.71334,0.4195,1.63052,1.21238,1.71154,0.006205,0.006205,0.006205
48,3996.57,0.87061,0.43835,1.00203,0.73353,0.6531,0.72617,0.43346,1.58768,1.18699,1.70964,0.0061225,0.0061225,0.0061225
49,4072.36,0.85984,0.43075,0.99809,0.73866,0.67184,0.7304,0.42782,1.58532,1.15263,1.68394,0.00604,0.00604,0.00604
50,4148.39,0.86099,0.43236,1.00505,0.73357,0.67155,0.70517,0.43096,1.60695,1.18532,1.69375,0.0059575,0.0059575,0.0059575
51,4224.56,0.84884,0.4276,0.99676,0.80038,0.63122,0.72056,0.4241,1.65493,1.2235,1.71808,0.005875,0.005875,0.005875
52,4300.55,0.86604,0.4258,1.00646,0.76108,0.68512,0.7459,0.44554,1.67371,1.10924,1.74776,0.0057925,0.0057925,0.0057925
53,4375.88,0.84074,0.42213,0.99486,0.83143,0.67184,0.77662,0.46686,1.63357,1.0592,1.70332,0.00571,0.00571,0.00571
54,4450.66,0.83468,0.41648,0.98936,0.7573,0.64302,0.74122,0.45242,1.62042,1.16357,1.70533,0.0056275,0.0056275,0.0056275
55,4525.81,0.83563,0.41593,0.99042,0.78878,0.67897,0.76743,0.46513,1.56947,1.06765,1.67079,0.005545,0.005545,0.005545
56,4600.67,0.82292,0.41375,0.98286,0.79388,0.66297,0.77034,0.46171,1.56775,1.08464,1.65163,0.0054625,0.0054625,0.0054625
57,4676.45,0.82791,0.40806,0.98177,0.7813,0.64302,0.73452,0.44322,1.62212,1.15226,1.71677,0.00538,0.00538,0.00538
